	City	Cloudiness	Country	Humidity	Lat	Lon	Max Temp	Wind Speed
0	Alofi	75	NU	94	-19.06	-169.92	75.2	10.29
1	Deputatskiy	36	RU	53	69.3	139.9	-32.34	2.84
2	Londa	0	IN	72	15.34	74.49	59.96	6.02
3	Navrongo	0	GH	25	10.89	-1.09	70.81	10.16
4	Ostrovnoy	8	RU	92	68.05	39.51	16.99	16.6
5	Vaike-Maarja	64	EE	91	59.1	26.19	30.26	7.25
6	Ainaro	92	TL	92	-8.93	125.41	72.11	1.1
7	Half Moon Bay	1	US	79	37.46	-122.43	57.2	2.21
8	Koslan	80	RU	82	63.46	48.9	22.21	4.0
9	Acapulco De Juarez	40	MX	74	16.86	-99.88	84.2	5.82
10	Road Town	40	VG	78	18.42	-64.62	80.6	6.93
11	Warrnambool	92	AU	84	-38.38	142.48	65.41	10.56
12	Bandar-E Lengeh	0	IR	100	26.56	54.88	72.56	3.22
13	Port Alfred	0	ZA	100	-33.59	26.89	66.08	4.63
14	Qaanaaq	0	GL	100	77.48	-69.36	-10.92	10.27
15	Walvis Bay	12	NA	82	-22.95	14.51	60.8	2.24
16	Acajutla	0	SV	62	13.59	-89.83	86.0	3.36
17	Aracati	76	BR	71	-4.56	-37.77	81.47	10.78
18	Ādīs	0	ET	72	8.96	38.73	44.6	4.7
19	Arraial Do Cabo	48	BR	92	-22.97	-42.02	76.16	19.73
20	Usoke	88	TZ	96	-5.09	32.32	61.99	8.43
21	North Bend	75	US	87	43.41	-124.22	44.6	5.82
22	Caravelas	48	BR	100	-17.73	-39.27	78.46	16.93
23	Makakilo	75	US	77	21.35	-158.09	75.2	12.75
24	Wahiawa	75	US	77	21.5	-158.02	75.2	12.75
25	Kōchi	20	JP	61	34.7	138.93	48.2	3.36
26	Kara-Kulja	44	KG	75	40.63	73.68	11.14	1.88
27	Pālam	0	IN	76	28.58	77.04	50.0	5.82
28	Ningbo	32	CN	93	29.88	121.54	42.8	8.37
29	Havre-Saint-Pierre	40	CA	60	50.23	-63.6	8.6	6.93
30	Sai Buri	92	TH	100	6.7	101.62	73.46	4.23
31	Roald	75	NO	100	62.58	6.12	46.4	24.16
32	Cabo San Lucas	75	MX	64	22.89	-109.91	75.2	9.17
33	Longyearbyen	75	SJ	73	78.22	15.63	26.6	3.36
34	Ayorou	0	NE	25	14.73	0.92	63.74	12.28
35	Ohrbült	90	DE	100	53.42	7.97	37.4	14.99
36	Okha	0	RU	93	53.59	142.95	-7.41	11.68
37	Kloulklubed	75	PW	83	7.04	134.26	84.2	11.39
38	Paphos District	20	CY	68	34.92	32.53	69.8	12.75
39	Atuona	0	PF	100	-9.8	-139.03	79.36	10.94
40	Voh	36	NC	97	-20.95	164.69	77.06	10.78
41	Bakurianis Andeziti	68	GE	92	41.76	43.42	26.62	1.83
42	Concordia	92	AR	67	-31.4	-58.02	82.28	5.57
43	Bandarbeyla	0	SO	100	9.49	50.81	76.75	26.78
44	Isangel	0	VU	100	-19.55	169.27	76.66	17.49
45	Phalodi	0	IN	80	27.13	72.36	44.35	2.84
46	Ushuaia	40	AR	75	-54.81	-68.31	44.6	23.04
47	Mayumba	44	GA	99	-3.44	10.65	75.67	3.22
48	Harper	90	US	93	30.3	-99.24	39.2	8.05
49	Monitos	20	CO	70	8.25	-76.05	86.0	9.17
50	Seymchan	44	RU	52	62.93	152.39	-31.62	2.89
51	Burns Lake	0	CA	92	54.23	-125.76	5.51	2.28
52	Presidencia Roque Saenz Pena	24	AR	69	-26.79	-60.44	86.11	6.91
53	Suntar	44	RU	39	62.16	117.65	-25.81	3.11
54	Sioux Lookout	90	CA	78	50.1	-91.92	8.6	5.82
55	Yeppoon	75	AU	61	-23.13	150.74	82.4	4.7
56	Pedernales	36	EC	76	0.07	-80.05	76.21	6.42
57	Severo-Kurilsk	80	RU	100	50.68	156.12	27.83	11.45
58	Tucurui	44	BR	98	-3.77	-49.67	75.22	3.33
59	Hirara	75	JP	68	24.8	125.28	68.0	10.29
60	Pevek	76	RU	100	69.7	170.27	-11.01	15.48
61	Chenzhou	92	CN	90	25.81	113.03	45.25	2.89
62	Marion	90	US	68	38.35	-97.02	30.2	14.99
63	Yarega	80	RU	90	63.43	53.58	25.22	4.23
64	Eureka	1	US	75	40.8	-124.16	51.8	6.93
65	Victoria	75	MY	94	5.28	115.24	77.0	4.29
66	Penapolis	20	BR	82	-21.42	-50.08	74.32	6.53
67	Qingdao	12	CN	73	36.09	120.35	26.6	4.47
68	Port Lincoln	68	AU	63	-34.72	135.86	77.06	3.62
69	Freeport	40	BS	73	26.54	-78.7	75.2	4.7
70	Chui	12	BR	74	-33.69	-53.46	74.95	13.96
71	Katima Mulilo	88	NA	99	-17.5	24.28	68.65	4.23
72	Belaya Gora	76	RU	69	68.54	146.19	-15.6	8.88
73	Port Blair	0	IN	100	11.67	92.75	81.11	13.47
74	Hilo	1	US	61	19.71	-155.08	78.8	17.22
75	Vredendal	92	ZA	94	-31.68	18.49	59.06	3.22
76	Betsiamites	1	CA	64	48.94	-68.65	-0.41	5.82
77	Dikson	12	RU	100	73.51	80.55	-5.88	22.68
78	Namatanai	76	PG	99	-3.66	152.44	83.63	8.1
79	Toyooka	20	JP	86	35.55	134.82	39.2	8.05
80	Eyl	44	SO	92	7.98	49.82	74.72	23.69
81	Saint-Philippe	90	CA	77	45.36	-73.48	15.8	12.75
82	Atambua	100	ID	100	-9.11	124.89	78.19	2.89
83	Gushi	48	CN	88	32.17	115.65	38.36	4.85
84	Kass Wollof	64	GM	33	13.79	-15.05	68.65	13.91
85	Abu Dhabi	90	AE	100	24.47	54.37	66.2	2.24
86	Narasannapeta	12	IN	99	18.42	84.04	56.59	3.22
87	Bridlington	0	GB	87	54.08	-0.19	48.2	11.41
88	Sumbe	44	AO	100	-11.2	13.84	72.11	1.1
89	Sayyan	0	YE	58	15.17	44.32	19.91	2.21
90	San Patricio	80	PY	81	-26.98	-56.83	78.82	4.29
91	Khao Yoi	0	TH	74	13.24	99.82	64.24	4.9
92	Khatanga	44	RU	40	71.98	102.47	-25.68	3.56
93	Tongliao	48	CN	60	43.61	122.27	7.67	3.0
94	Kamen-Rybolov	12	RU	83	44.75	132.04	11.32	2.62
95	Zubtsov	88	RU	94	56.17	34.59	24.14	6.24
96	Caninde De Sao Francisco	12	BR	53	-9.61	-37.76	82.28	13.96
97	Senneterre	75	CA	71	48.39	-77.24	6.8	3.36
98	Ilhabela	56	BR	100	-23.78	-45.36	72.56	5.12
99	Ongandjera	48	NA	39	-17.88	15.07	77.06	13.69
100	Arboretum	44	ZA	99	-28.77	32.06	70.13	5.41
101	Gorontalo	48	ID	78	0.54	123.06	80.8	2.06
102	Gualaquiza	44	EC	81	-3.4	-78.58	66.94	0.38
103	Mlonggo	0	ID	100	-6.53	110.7	77.24	4.63
104	Faanui	24	PF	100	-16.48	-151.75	82.91	9.15
105	Vaitape	12	PF	100	-16.52	-151.75	82.91	9.82
106	Teguldet	92	RU	79	57.31	88.17	6.68	3.74
107	Adh Dhayd	8	AE	87	25.33	56.02	68.0	4.7
108	Kertapati	75	ID	100	-2.99	104.76	73.4	3.36
109	Nador	0	MA	81	35.17	-2.93	48.2	1.12
110	Durango	90	MX	34	24.01	-104.61	64.4	9.17
111	Canaan	20	TT	78	10.24	-61.45	78.8	5.82
112	Savannah	90	US	86	39.95	-94.76	28.4	8.05
113	Excelsior Springs	75	US	68	39.34	-94.23	30.2	9.17
114	Kattivakkam	40	IN	94	13.22	80.32	75.2	13.29
115	Dobryatino	64	RU	86	55.51	41.32	20.14	5.91
116	Tiarei	75	PF	70	-17.53	-149.33	87.8	10.29
117	General Pico	36	AR	47	-35.66	-63.75	79.36	10.45
118	Tezu	20	IN	81	27.93	96.16	48.08	1.5
119	Baruun-Urt	0	MN	62	46.68	113.28	-1.42	8.55
120	Cristobal Obregon	20	MX	33	16.38	-93.6	91.4	1.88
121	Plouzane	75	FR	100	48.38	-4.62	50.0	2.24
122	Bumba	44	CD	96	2.18	22.47	72.38	4.63
123	Carthage	90	US	72	40.33	-91.2	35.6	6.93
124	Sao Filipe	80	CV	94	14.9	-24.5	74.05	19.39
125	Ajaccio	0	FR	80	41.93	8.74	48.2	6.93
126	Santa Maria	0	BR	88	-29.69	-53.81	78.8	4.7
127	Saskylakh	64	RU	58	71.97	114.09	-12.0	6.76
128	Hailar	0	CN	42	49.2	119.7	-15.33	3.11
129	Vila De Ala	0	PT	78	41.42	-6.55	26.12	3.11
130	Biskamzha	88	RU	77	53.45	89.53	12.94	6.8
131	Salvador	20	BR	83	-12.98	-38.48	78.8	14.99
132	Yemetsk	88	RU	93	63.45	41.73	24.64	3.74
133	Morondava	0	MG	100	-20.3	44.28	74.86	1.1
134	Leningradskiy	88	RU	96	69.38	178.42	2.32	21.12
135	Kutum	0	SD	48	14.2	24.66	52.76	5.57
136	Muanda	32	CD	97	-5.93	12.38	75.08	4.63
137	Lang Son	92	VN	99	21.83	106.73	56.99	3.22
138	Massena	90	US	85	44.93	-74.89	14.0	9.17
139	Norman Wells	20	CA	73	65.28	-126.83	21.2	12.75
140	Pontes E Lacerda	8	BR	80	-15.23	-59.33	77.56	5.91
141	Kochinda	0	IN	85	21.73	84.35	52.45	2.62
142	Busselton	0	AU	100	-33.64	115.35	64.51	19.39
143	Bacum	75	MX	13	27.52	-110.01	71.6	5.82
144	Ulladulla	0	AU	54	-35.36	150.48	82.4	6.93
145	San Matias	75	HN	64	13.97	-86.63	71.6	13.87
146	San Ignacio	0	CL	35	-36.8	-72.03	73.4	14.99
147	Dowlatabad	8	AF	89	36.41	64.91	34.72	2.39
148	Bongaigaon	56	IN	90	26.48	90.56	55.6	2.62
149	Hofn	88	IS	98	64.25	-15.21	39.94	15.14
150	Bay Roberts	90	CA	68	47.58	-53.28	26.6	24.16
151	Ulyanovka	75	RU	92	59.7	30.79	30.2	6.71
152	Axim	12	GH	100	4.87	-2.24	79.45	9.1
153	Pons	90	FR	93	45.6	-0.6	46.4	2.1
154	Thompson	20	CA	76	55.74	-97.86	-9.41	10.29
155	Lompoc	1	US	13	34.64	-120.46	66.2	5.82
156	Colonia Lazaro Cardenas	75	MX	29	28.39	-105.62	51.8	14.99
157	Zhangjiakou	0	CN	64	40.77	114.88	6.32	3.78
158	Dudinka	0	RU	49	69.41	86.18	-29.73	4.56
159	Svitavka	90	CZ	94	49.51	16.58	39.2	9.17
160	Gama	68	BR	80	-15.83	-48.06	70.09	2.21
161	Kvarkeno	80	RU	75	52.08	59.73	2.32	9.82
162	Talcahuano	0	CL	52	-36.72	-73.12	64.4	16.11
163	Sabang	88	PH	100	13.72	123.58	78.01	17.43
164	Flinders	0	AU	54	-34.58	150.85	82.4	6.93
165	Kamina	92	CD	99	-8.74	25.0	66.08	4.12
166	Kiama	0	AU	54	-34.67	150.86	82.4	6.93
167	Pilar Do Sul	56	BR	91	-23.81	-47.72	69.32	6.58
168	Coruripe	92	BR	98	-10.12	-36.18	78.46	12.8
169	Kapaa	40	US	60	22.08	-159.32	75.2	21.92
170	Port-Gentil	32	GA	99	-0.72	8.78	79.45	7.25
171	Cherskiy	12	RU	46	68.75	161.3	-28.96	4.56
172	Kapit	88	MY	96	2.02	112.94	74.14	2.28
173	Ust-Kuyga	68	RU	58	70.0	135.55	-33.19	4.52
174	Camacupa	68	AO	94	-12.02	17.48	63.52	5.86
175	Dingolfing	75	DE	100	48.63	12.5	37.4	4.7
176	Nantucket	90	US	100	41.28	-70.1	39.2	11.41
177	Taseyevo	80	RU	73	57.22	94.9	8.21	5.86
178	Duba	40	CZ	93	50.47	14.53	37.4	5.82
179	Chapais	1	CA	76	49.78	-74.86	-9.41	5.82
180	Iqaluit	20	CA	75	63.75	-68.52	-14.81	3.36
181	Ugra	80	RU	91	54.78	34.32	22.84	4.41
182	Synya	76	RU	86	65.37	58.04	23.42	6.76
183	Nirmali	0	IN	90	26.31	86.57	55.06	3.78
184	Derzhavinsk	0	KZ	54	51.1	66.31	-10.92	3.51
185	Aş Şalālah Al Jadīdah	0	OM	23	17.01	54.1	75.2	8.05
186	Meulaboh	0	ID	100	4.14	96.13	78.55	3.85
187	Takenouchi	75	JP	93	36.66	137.31	41.0	2.24
188	Pontianak	20	ID	94	-0.02	109.34	75.2	2.21
189	Piterka	56	RU	81	50.68	47.44	12.04	3.85
190	Odaka	20	JP	100	37.52	140.86	39.2	6.93
191	Lagoa	0	PT	76	37.14	-8.45	51.8	5.82
192	Talnakh	0	RU	45	69.49	88.39	-28.65	3.11
193	Rudnogorsk	56	RU	76	57.27	103.75	6.91	6.02
194	Peoria	90	US	74	40.69	-89.59	41.0	3.36
195	Albany	90	US	85	42.65	-73.75	26.6	6.02
196	Narsaq	64	GL	42	60.91	-46.05	30.2	3.36
197	Kujalleq	88	GL	42	60.72	-46.03	30.2	3.36
198	Cape Town	20	ZA	77	-33.93	18.42	59.0	1.12
199	Omboue	20	GA	100	-1.57	9.26	80.39	4.23
200	Uni	92	RU	88	57.75	51.49	15.77	5.12
201	Tasiilaq	32	GL	85	65.61	-37.64	24.8	12.75
202	Luanda	75	AO	83	-8.83	13.24	75.2	9.17
203	Batagay	48	RU	0	67.65	134.64	-48.31	3.06
204	Areosa	0	PT	57	41.72	-8.86	48.2	2.24
205	Daru	0	SL	55	7.99	-10.85	69.19	6.8
206	Sao Felix Do Xingu	24	BR	95	-6.64	-51.99	75.4	1.88
207	Fajozes	0	PT	100	41.31	-8.72	39.2	3.36
208	Cidreira	0	BR	82	-30.17	-50.22	74.18	13.85
209	Torbay	90	CA	68	47.66	-52.73	26.6	24.16
210	Begowal	0	IN	77	31.67	75.63	39.53	2.89
211	Nurota	76	UZ	75	40.56	65.69	41.0	9.17
212	Ballinure	90	IE	100	51.89	-8.4	48.2	2.24
213	Zaoyang	68	CN	80	32.12	112.76	37.28	2.84
214	At-Bashi	0	KG	53	41.17	75.81	-9.97	2.1
215	Pella	1	US	85	41.41	-92.92	28.4	4.7
216	Dunedin	0	NZ	71	-45.87	170.5	69.64	4.63
217	Thinadhoo	0	MV	100	0.53	72.93	81.52	3.74
218	Carbonia	0	IT	93	39.17	8.53	46.4	8.05
219	Jamestown	0	AU	31	-33.21	138.6	85.75	12.35
220	Malanje	8	AO	87	-9.54	16.35	67.07	6.24
221	Milendella	0	AU	14	-34.85	139.16	84.2	12.75
222	East London	20	ZA	100	-33.02	27.91	69.86	5.75
223	Dingle	92	PH	97	11.0	122.67	76.21	17.72
224	Avarua	40	CK	61	-21.21	-159.78	80.6	17.22
225	Lucapa	36	AO	92	-8.42	20.74	63.11	2.73
226	La Rioja	0	AR	54	-29.41	-66.86	83.18	2.55
227	Bela	0	PK	80	26.23	66.31	41.74	2.33
228	Kailua	75	US	77	21.39	-157.74	75.2	12.75
229	Balclutha	32	NZ	69	-46.28	169.85	69.59	0.04
230	Gonbad-E Qabus	88	IR	77	37.23	55.37	53.44	10.45
231	Fortuna	0	ES	70	38.18	-1.13	48.2	5.82
232	Kavieng	32	PG	98	-2.57	150.8	85.16	5.86
233	Porbandar	88	IN	72	21.64	69.61	70.99	11.68
234	Jonava	88	LT	91	55.07	24.28	32.0	5.82
235	Tignere	24	CM	39	7.37	12.65	71.71	5.12
236	Gobabis	20	NA	69	-22.45	18.97	75.2	3.36
237	Araouane	12	ML	34	18.9	-3.53	52.99	14.18
238	Hauterive	90	FR	100	46.09	3.45	44.6	2.24
239	Glenwood Springs	1	US	78	39.55	-107.33	35.6	13.87
240	Tiksi	68	RU	81	71.64	128.87	-18.66	3.33
241	Clyde River	90	CA	75	70.47	-68.59	-14.81	8.05
242	Vestmannaeyjar	92	IS	89	63.44	-20.27	41.29	20.56
243	Yaviza	56	PA	80	8.11	-77.73	82.91	3.22
244	Kráir	92	FO	90	61.47	-6.81	48.71	30.96
245	Vanavara	64	RU	82	60.35	102.28	2.95	5.08
246	Kolpashevo	92	RU	90	58.31	82.9	11.41	5.86
247	Samarai	88	PG	98	-10.62	150.67	83.5	9.78
248	Hobart	75	AU	42	-42.88	147.33	68.0	19.46
249	New Norfolk	75	AU	42	-42.78	147.06	68.0	19.46
250	Chinna Salem	88	IN	95	11.64	78.88	68.51	4.07
